Offering ID,Registration Bus Id,DimScopeDwKey,Date,Course Code,Course Title (en),Offering Delivery Type (en),Offering Language,Confirmed Registrations,Registration Status (en),Organization (en),Job Classification (group)
128098,regdw000000004669610,2,2020-09-15 0:00:00,I637,Reaching Efficient Solutions w Computational Thinking (I637),Online - Self-paced,English/Anglais,0,Confirmed,Canada Revenue Agency,SU
128098,regdw000000004670025,2,2020-09-15 0:00:00,I637,Reaching Efficient Solutions w Computational Thinking (I637),Online - Self-paced,English/Anglais,0,Confirmed,Canada School of Public Service,AS
128098,regdw000000004670154,2,2020-09-15 0:00:00,I637,Reaching Efficient Solutions w Computational Thinking (I637),Online - Self-paced,English/Anglais,0,Confirmed,Canada Revenue Agency,AU
128098,regdw000000004670344,2,2020-09-15 0:00:00,I637,Reaching Efficient Solutions w Computational Thinking (I637),Online - Self-paced,English/Anglais,0,Confirmed,Canada Revenue Agency,AU
128101,regdw000000004673296,2,2020-09-16 0:00:00,I638,The Essential Role of the Agile Product Owner (I638),Online - Self-paced,English/Anglais,0,Confirmed,Global Affairs Canada,Unknown
128027,regdw000000004662143,2,2020-09-11 0:00:00,I522,Harnessing the Power of Data Science for Business Growth (I522),Online - Self-paced,English/Anglais,0,Confirmed,Canada Revenue Agency,SP
128027,regdw000000004665288,2,2020-09-13 0:00:00,I522,Harnessing the Power of Data Science for Business Growth (I522),Online - Self-paced,English/Anglais,0,Confirmed,Canada Revenue Agency,AS
128027,regdw000000004666370,2,2020-09-14 0:00:00,I522,Harnessing the Power of Data Science for Business Growth (I522),Online - Self-paced,English/Anglais,0,Confirmed,Canada Revenue Agency,AU
128027,regdw000000004670535,2,2020-09-15 0:00:00,I522,Harnessing the Power of Data Science for Business Growth (I522),Online - Self-paced,English/Anglais,0,Confirmed,Statistics Canada,CR
128029,regdw000000004651024,2,2020-09-04 0:00:00,I612,How Blockchain Technology is Transforming Businesses (I612),Online - Self-paced,English/Anglais,0,Confirmed,Global Affairs Canada,CO
128029,regdw000000004665307,2,2020-09-13 0:00:00,I612,How Blockchain Technology is Transforming Businesses (I612),Online - Self-paced,English/Anglais,0,Confirmed,Canada Revenue Agency,AS
128063,regdw000000004651607,2,2020-09-04 0:00:00,I514,Making Data-driven Decisions (I514),Online - Self-paced,English/Anglais,0,Confirmed,Treasury Board of Canada Secretariat,PE
128063,regdw000000004652145,2,2020-09-04 0:00:00,I514,Making Data-driven Decisions (I514),Online - Self-paced,English/Anglais,0,Confirmed,Canada Revenue Agency,AS
128063,regdw000000004654138,2,2020-09-08 0:00:00,I514,Making Data-driven Decisions (I514),Online - Self-paced,English/Anglais,0,Confirmed,Department of National Defence (Civilian),AS
128063,regdw000000004663139,2,2020-09-11 0:00:00,I514,Making Data-driven Decisions (I514),Online - Self-paced,English/Anglais,0,Confirmed,Veterans Affairs Canada,CR
128065,regdw000000004659928,2,2020-09-10 0:00:00,I613,Creating Engagement with Virtual Reality (I613),Online - Self-paced,French/Français,0,Confirmed,Unknown,AS
128065,regdw000000004670088,2,2020-09-15 0:00:00,I613,Creating Engagement with Virtual Reality (I613),Online - Self-paced,French/Français,0,Confirmed,Employment and Social Development Canada,CR
