Department (en),Learner Province (en),Date,Course Code,Course Title (en),Offering Delivery Type (en),Offering Language,Registration No Show Flag,Registration Status (en),Offering Status,Instructor Name
Canada Border Services Agency,Ontario_NCR,2020-10-30 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Richard Landry
Canada Border Services Agency,Ontario_NCR,2020-11-18 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Isa David
Canada Council for the Arts,Ontario_NCR,2020-07-17 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Confirmed,Delivered - Normal,"Elizabeth McKeown, Richard Landry"
Canada Revenue Agency,Alberta,2020-08-13 0:00,I633,Agile Project Scheduling and Monitoring (I633),Online - Self-paced,English/Anglais,0,Cancelled,N/a,Unknown
Canada Revenue Agency,Alberta,2020-08-14 0:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Alberta,2020-08-17 0:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Alberta,2020-08-18 0:00,I502,Best Practices for Digital Transformation (I502),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Alberta,2020-08-19 0:00,I557,Developing and Supporting an Agile Mind-set (I557),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Alberta,2020-08-19 0:00,I605,Building a Culture of Design Thinking (I605),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Alberta,2020-09-09 0:00,I612,How Blockchain Technology is Transforming Businesses (I612),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Alberta,2020-09-15 0:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Alberta,2020-10-19 0:00,I602,Digital in Practice (I602),Virtual Classroom,French/Français,0,Confirmed,Open - Normal,Jean-Marc Dupont
Canada Revenue Agency,Alberta,2020-10-21 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Cancelled,Open - Normal,Jean-Marc Dupont
Canada Revenue Agency,Alberta,2020-10-21 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Jean-Marc Dupont
Canada Revenue Agency,Alberta,2020-11-18 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Isa David
Canada Revenue Agency,British Columbia,2020-08-12 0:00,I610,Achieving Customer-centric Design with User Personas (I610),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,British Columbia,2020-08-12 0:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,British Columbia,2020-08-13 0:00,I615,Applying Virtual Assistant Technology (I615),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,British Columbia,2020-08-13 0:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,British Columbia,2020-08-13 0:00,I633,Agile Project Scheduling and Monitoring (I633),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,British Columbia,2020-08-20 0:00,I502,Best Practices for Digital Transformation (I502),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,British Columbia,2020-09-03 0:00,I503,Agile Project Planning (I503),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,British Columbia,2020-09-03 0:00,I610,Achieving Customer-centric Design with User Personas (I610),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,British Columbia,2020-09-04 0:00,I514,Making Data-driven Decisions (I514),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,British Columbia,2020-09-04 0:00,I623,Embracing the Cloud for Business Efficiency (I623),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,British Columbia,2020-09-06 0:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
