Learner Location,Date,Course Code,Course Title (en),Offering Delivery Type (en),Offering Language,Registration No Show Flag,Offering Status,Instructor Name
OTTAWA,2020-07-17 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,1,Delivered - Normal,"Elizabeth McKeown, Richard Landry"
OTTAWA,2020-07-20 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,French/Français,0,Delivered - Normal,"Daniel Richer, Richard Landry"
OTTAWA,2020-07-29 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Delivered - Normal,"Elizabeth McKeown, Jean-Marc Dupont"
OTTAWA,2020-07-29 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,1,Delivered - Normal,"Elizabeth McKeown, Jean-Marc Dupont"
OTTAWA,2020-08-06 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Delivered - Normal,"Elizabeth McKeown, Jean-Marc Dupont"
OTTAWA,2020-08-06 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,1,Delivered - Normal,"Elizabeth McKeown, Jean-Marc Dupont"
OTTAWA,2020-08-11 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,French/Français,0,Cancelled - Normal,Unknown
OTTAWA,2020-08-18 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Cancelled - Normal,Unknown
OTTAWA,2020-08-27 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Delivered - Normal,"Elizabeth McKeown, Jean-Marc Dupont"
OTTAWA,2020-08-27 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,1,Delivered - Normal,"Elizabeth McKeown, Jean-Marc Dupont"
OTTAWA,2020-08-27 0:00,I501,Discover Digital for Executives Module #4 - Share your learning experience: Peer Connect (I501),Virtual Classroom,French/Français,0,Cancelled - Normal,Unknown
OTTAWA,2020-09-08 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Cancelled - Normal,Unknown
OTTAWA,2020-09-08 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Delivered - Normal,Jean-Marc Dupont
OTTAWA,2020-09-08 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,1,Delivered - Normal,Jean-Marc Dupont
OTTAWA,2020-09-14 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Delivered - Normal,"Elizabeth McKeown, Felicity Mulgan"
OTTAWA,2020-09-14 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,1,Delivered - Normal,"Elizabeth McKeown, Felicity Mulgan"
OTTAWA,2020-09-15 0:00,I602,Digital in Practice (I602),Virtual Classroom,French/Français,0,Delivered - Normal,Isa David
OTTAWA,2020-09-15 0:00,I602,Digital in Practice (I602),Virtual Classroom,French/Français,1,Delivered - Normal,Isa David
OTTAWA,2020-09-21 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,French/Français,0,Delivered - Normal,"Daniel Richer, Jean-Marc Dupont"
OTTAWA,2020-09-22 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Open - Normal,Jean-Marc Dupont
